#Freq, SmbR,  H0/V1, FEC, DISECQ (-1=Auto)
#
## -- Hotbird 13.0E on DiseqC Auto (AB-A+B)
10719, 27500, 1, 3, -1
10723, 29900, 0, 3, -1
10758, 27500, 1, 3, -1
10775, 28000, 0, 3, -1
10796, 27500, 1, 3, -1
10829, 33330, 0, 3, -1
10834, 27500, 1, 3, -1
10853, 27500, 0, 3, -1
10873, 27500, 1, 3, -1
10892, 27500, 0, 3, -1
10911, 27500, 1, 3, -1
10930, 27500, 0, 3, -1
10949, 27500, 1, 3, -1
10971, 27500, 0, 3, -1
10992, 27500, 1, 3, -1
11013, 27500, 0, 3, -1
11034, 27500, 1, 3, -1
11054, 27500, 0, 3, -1
11075, 27500, 1, 3, -1
## -- Astra 19.2E on DiseqC Auto (AB-A+B)
10743, 22000, 0, 4, -1
10773, 22000, 0, 4, -1
10788, 22000, 1, 4, -1
10817, 22000, 1, 4, -1
10832, 22000, 0, 4, -1
10847, 22000, 1, 4, -1
10861, 22000, 0, 4, -1
10876, 22000, 1, 4, -1
10920, 22000, 0, 4, -1
10979, 22000, 1, 4, -1
